,errors
0,2.3532981837151428
1,1.0346795168243292
2,0.8854090178801641
3,0.884865172258832
4,1.8763057210448069
5,0.1615602032121707
6,2.7008140165841503
7,1.0859249833299294
8,0.8291716906102675
9,1.360967104321023
10,0.4143826357661539
11,1.0300471139122787
12,1.0825955167224164
13,1.5518179077034917
14,0.5860081867170893
15,0.45732975872280524
16,0.5264283217290686
17,1.8676071423308336
18,2.339988015185204
19,0.9535665240817268
20,1.1657694633683533
21,0.2574037719896595
22,0.820254729811922
23,0.5792402072050418
24,2.1779126423293307
25,1.6623369324098254
26,0.8188740352280608
27,1.291372305674337
28,0.08046203369035705
29,0.5559139060074088
30,0.4919194529795736
31,1.646242832312979
32,0.9029432564564588
33,0.28692442619310105
34,0.39987411190207706
35,1.0531778292940595
36,1.691396779682526
37,1.2318067547927234
38,1.958367072708012
39,1.2318206791849085
40,0.8650681773208757
41,0.7001907372128069
42,0.6016870817510073
43,0.44644304313532235
44,2.0172409707181664
45,2.0892303514617376
46,1.71110167350156
47,1.7131568055397055
48,1.0009502745430057
49,1.6692057048422198
50,1.7294522638487806
51,0.06778185443785066
52,1.3366039860209882
53,2.62904622640544
54,0.47909943987559034
55,1.0019842830380046
56,1.3998490163983972
57,0.6713393946852174
58,0.7820130961794866
59,0.919641548545484
60,1.2003811597667273
61,1.3977866224438866
62,0.8237630863072177
63,1.2086486431623502
64,0.9985373449881644
65,2.1440355351565046
66,0.5103200350839917
67,0.7505161944744503
68,1.7897977167988803
69,0.9162887534915463
70,1.9036962626607818
71,1.6043069522336753
72,0.7406380072303641
73,1.6751004834792085
74,1.9332929246452282
75,0.8670942503784709
76,0.7067366213897693
77,0.2842910786537425
78,2.3775957571656483
79,0.47226522260662507
80,0.8554377513249418
81,0.9903888323819738
82,0.3641280112299595
83,1.6655696055725941
84,1.6626070828930641
85,0.8464236132702632
86,3.0656964060681298
87,1.349132177006263
88,0.6000823174418959
89,1.122595166483296
90,1.346246681953121
91,0.826026850930464
92,1.1668601992377836
93,1.2086586881236134
94,0.7764223166603744
95,0.841753366890434
96,0.7860414530135449
97,0.748073258390747
98,1.3640701292557598
99,0.542855370407387
100,0.24969543408868067
101,1.5669096423151676
102,1.5840114937474286
103,0.5121960608385651
104,1.9325346623365725
105,0.5751505496863654
106,1.1356055625504633
107,0.1827922334645395
108,2.029175782439936
109,1.579302480009579
110,0.5271831283303418
111,0.7955633759914276
112,3.001638212790949
113,0.4690899768690763
114,3.790849092349975
115,0.9401240826483083
116,0.09588089256195795
117,1.3945626913542124
118,0.963006065265171
119,0.920359681516322
120,0.2591943366687749
121,1.348255454836481
122,1.0932592677407684
123,0.5192220215386812
124,0.839742959115279
125,0.8862240087862759
126,0.18923348999181486
127,0.6267640608634968
128,0.1489545690714327
129,1.1219278209341579
130,0.4582311465919036
131,0.7951763986336233
132,0.7036732328024048
133,0.3470291008524192
134,0.8153017547546311
135,0.485032112524414
136,1.2149393770798227
137,0.9842175879429873
138,1.0282769793721076
139,0.589966426502022
140,3.6319757629520253
141,1.0698231623879535
142,0.5332127976615331
143,1.1212492566871526
144,0.4085296857952097
145,1.0094085304064926
146,3.7111946983288866
147,1.6166255279947706
148,1.6525512511860805
149,0.2862226013947668
150,2.430868511521285
151,0.9784076664376402
152,0.9640078053913024
153,1.0568645348061378
154,1.9708979016121178
155,1.6169780699441285
156,2.9676213353324394
157,0.5759887879276304
158,1.0930391259499619
159,1.1969733398101992
160,0.6067381291591702
161,1.4982691147557927
162,3.343247959926878
163,0.06184054484467287
164,1.1432162101456136
165,0.7140401289267495
166,1.580963046016836
167,0.5903987737652057
168,1.0832987142288628
169,1.733117130694306
170,0.286941069992723
171,0.44844160662656973
172,0.49965185639842646
173,0.48511798249137006
174,0.9119898015229236
175,1.3334930478077431
176,1.4866533296649993
177,1.1643235187135348
178,1.8999021571061259
179,1.5650104539638652
180,1.1428535385832457
181,1.269078223663471
182,1.9731062306281728
183,0.3885909492542935
184,1.9678160507983236
185,0.9758824833030937
186,1.6699219301460262
187,1.021061721481335
188,0.5371090147864809
189,1.728740774202128
190,0.8289417340659372
191,1.3562869898984697
192,0.7581263487592841
193,2.5246357570237286
194,0.9123389801176099
195,0.12762892545049992
196,1.4634497192715992
197,0.6052731555098689
198,1.0499537118411986
199,0.7109977713698422
200,1.0816420625670435
201,2.16354738963937
202,0.5444740313462203
203,0.2891633466253872
204,0.09879061205325211
205,1.4343680900682871
206,0.7158160660492717
207,0.6860049529769299
208,1.5683633116391704
209,0.474289506164689
210,1.108870433833298
211,0.964156250638069
212,1.419141514726737
213,1.3268298836678483
214,1.242378221621971
215,0.8540752777815368
216,1.674152833373347
217,0.49205135597442684
218,1.4480087367999819
219,0.9114477210824717
220,1.0448056019815075
221,0.7090990195730877
222,1.270294732661281
223,0.31333059545983705
224,1.7442589074031618
225,1.3560525430812087
226,1.6599529703830576
227,0.21540443886849558
228,0.743067549639988
229,0.9257949690996523
230,0.994119623724029
231,1.3349829073657593
232,0.43640361579131576
233,0.5870732104794854
234,1.1376489994417427
235,0.6519135932439603
236,0.9711804917160903
237,1.7899952102566432
238,1.0840058607183303
239,0.8612649343425063
240,0.3526444012976925
241,0.666323158726072
242,0.9412363226033998
243,0.9364460585405862
244,0.369739871159758
245,1.5122533796747188
246,0.5243874958342116
247,0.9196402956876107
248,0.6271843399821654
249,1.413099520248593
250,1.174345282672781
251,0.8071225012781985
252,2.237559730771935
253,1.2209148411506006
254,1.5975412239382871
255,0.6501955716776234
256,0.6352269542078006
257,1.0317224060093828
